"ticker","name","sector"
"TMAS.JK","PT Temas Tbk.","Logistics & Deliveries"
"BUDI.JK","PT Budi Starch & Sweetener Tbk.","Processed Foods"
"DWGL.JK","PT Dwi Guna Laksana Tbk","Coal"
"JKSW.JK","Jakarta Kyoei Steel Works Tbk","Construction Materials"
"DYAN.JK","PT Dyandra Media International Tbk.","Commercial Services"
"NTBK.JK","PT Nusatama Berkah Tbk","Machinery"
"ALTO.JK","Tri Banyan Tirta Tbk","Beverages"
"PRAY.JK","PT Famon Awal Bros Sedaya Tbk","Healthcare Providers"
"HOPE.JK","PT Harapan Duta Pertiwi Tbk.","Machinery"
"SMLE.JK","PT Sinergi Multi Lestarindo Tbk","Chemicals"
