"symbol","date","close","volume","market_cap","updated_on","mcap_method"
"ACRO.JK","2024-06-07","85","1906100","294876905472","2024-06-07 11:19:10+00","1"
"ASLI.JK","2024-06-07","50","102300","312499994624","2024-06-07 11:19:10+00","1"
"MANG.JK","2024-06-07","162","11433400","617625026560","2024-06-07 11:19:10+00","1"
"NICE.JK","2024-06-07","705","19365500","4287823872000","2024-06-07 11:19:10+00","1"
"MSJA.JK","2024-06-07","308","18711600","1811763822592","2024-06-07 11:19:10+00","1"
"MSIN.JK","2024-06-07","2970","100100","36041545220096","2024-06-07 11:19:10+00","1"
"CGAS.JK","2024-06-07","119","4751000","210800164864","2024-06-07 11:19:10+00","1"
"TLDN.JK","2024-06-07","450","50000","5825924956160","2024-06-07 11:19:10+00","1"
"DMND.JK","2024-06-07","720","1700","6817218822144","2024-06-07 11:19:10+00","1"
"CASH.JK","2024-06-07","81","497600","115921526784","2024-06-07 11:19:10+00","1"
"CBPE.JK","2024-06-07","123","20500","166818742272","2024-06-07 11:19:10+00","1"
"CBRE.JK","2024-06-07","22","561500","99837100032","2024-06-07 11:19:10+00","1"
"AIMS.JK","2024-06-07","368","45000","80959995904","2024-06-07 11:19:10+00","1"
"AMAR.JK","2024-06-07","246","374400","4455183417344","2024-06-07 11:19:10+00","1"
"LTLS.JK","2024-06-07","995","3800","1485803618304","2024-06-07 11:19:10+00","1"
"AMOR.JK","2024-06-07","785","5000","1736584724480","2024-06-07 11:19:10+00","1"
"LAJU.JK","2024-06-07","50","108200","107496996864","2024-06-07 11:19:10+00","1"
"LAPD.JK","2024-06-07","7","149000","27764451328","2024-06-07 11:19:10+00","1"
"EDGE.JK","2024-06-07","4070","13700","8222417616896","2024-06-07 11:19:10+00","1"
"BBCA.JK","2024-06-07","9325","51599800","1149539406839808","2024-06-07 11:19:10+00","1"
"PTMP.JK","2024-06-07","137","36039200","434180423680","2024-06-07 11:19:10+00","1"
"ANJT.JK","2024-06-07","670","724400","2247293927424","2024-06-07 11:19:10+00","1"
"LEAD.JK","2024-06-07","75","1879400","302530494464","2024-06-07 11:19:10+00","1"
"LUCK.JK","2024-06-07","56","48700","40082001920","2024-06-07 11:19:10+00","1"
"LUCY.JK","2024-06-07","130","104200","196920098816","2024-06-07 11:19:10+00","1"
"SONA.JK","2024-06-07","885","58200","586223976448","2024-06-07 11:19:10+00","1"
"KONI.JK","2024-06-07","1000","3800","311999987712","2024-06-07 11:19:10+00","1"
"FITT.JK","2024-06-07","278","1808200","201864134656","2024-06-07 11:19:10+00","1"
"APII.JK","2024-06-07","179","281000","192561037312","2024-06-07 11:19:10+00","1"
"NASI.JK","2024-06-07","162","37622800","130798796800","2024-06-07 11:19:10+00","1"
