"symbol","updated_on","net_transaction","top_sellers","date","top_buyers"
"SILO.JK","2024-01-21 16:55:09+00","134800","","2023-12-31","[{""name"":""Eastspring Investments (Singapore) Ltd"",""changeAmount"":94200},{""name"":""PT Eastspring Investment Indonesia"",""changeAmount"":40600}]"
"SIMP.JK","2024-01-21 16:55:09+00","-9249124","[{""name"":""PT Eastspring Investment Indonesia"",""changeAmount"":-5875500},{""name"":""Acadian Asset Management LLC"",""changeAmount"":-1461810},{""name"":""Segall Bryant & Hamill"",""changeAmount"":-913800},{""name"":""Pharus Management Lux S.A."",""changeAmount"":-836600},{""name"":""Voya Investments, LLC"",""changeAmount"":-131572},{""name"":""Harbor Capital Advisors Inc"",""changeAmount"":-20000},{""name"":""SEI Investments Management Corp"",""changeAmount"":-11804},{""name"":""Russell Investments Ireland Limited"",""changeAmount"":-1253}]","2023-12-31","[{""name"":""Dimensional Fund Advisors LP"",""changeAmount"":1962},{""name"":""Russell Investments Limited"",""changeAmount"":1253}]"
"SKBM.JK","2024-01-21 16:55:09+00","-49700","[{""name"":""Pharus Management Lux S.A."",""changeAmount"":-49700}]","2023-12-31",""
"SMAR.JK","2024-01-21 16:55:09+00","-85529","[{""name"":""Dimensional Fund Advisors LP"",""changeAmount"":-85529}]","2023-12-31",""
"SMBR.JK","2024-01-21 16:55:09+00","-485293","[{""name"":""Dimensional Fund Advisors LP"",""changeAmount"":-485293}]","2023-12-31",""
"SMRA.JK","2024-01-21 16:55:09+00","-137990456","[{""name"":""Matthews International Cap Mgmt LLc"",""changeAmount"":-66581291},{""name"":""Crux Asset Management Limited"",""changeAmount"":-30941040},{""name"":""Acadian Asset Management LLC"",""changeAmount"":-8965500},{""name"":""PT Eastspring Investment Indonesia"",""changeAmount"":-7990900},{""name"":""Russell Investments Ireland Limited"",""changeAmount"":-4613689},{""name"":""Sunline Pte. Ltd."",""changeAmount"":-4500000},{""name"":""AZ Investment Management Singapore Ltd"",""changeAmount"":-4101515},{""name"":""Matthews Intl Capital Management, LLC"",""changeAmount"":-3308700},{""name"":""SPP Fonder AB"",""changeAmount"":-2783967},{""name"":""RHB Asset Management Sdn Bhd"",""changeAmount"":-1115100},{""name"":""Vanguard Group Inc"",""changeAmount"":-1028100},{""name"":""State Street Global Advisors Ltd"",""changeAmount"":-750000},{""name"":""HSBC Global Asset Management (UK) Ltd"",""changeAmount"":-648590},{""name"":""Abrdn Asia Limited"",""changeAmount"":-434000},{""name"":""Flexshares Trust"",""changeAmount"":-227900},{""name"":""NN Investment Partners (Japan) Co Ltd"",""changeAmount"":-83},{""name"":""BlackRock Institutional Trust Company"",""changeAmount"":-81}]","2023-12-31",""
"SOCI.JK","2024-01-21 16:55:09+00","-25000000","[{""name"":""JOM Rahastoyhtiö Oy/ Fund Management Ltd"",""changeAmount"":-25000000}]","2023-12-31",""
"ADMF.JK","2024-01-21 06:16:43+00","-187000","[{""name"":""Segall Bryant & Hamill"",""changeAmount"":-145000},{""name"":""Pharus Management Lux S.A."",""changeAmount"":-42000}]","2023-12-31",""
"SRIL.JK","2024-01-21 16:55:09+00","-34604972","[{""name"":""PT Eastspring Investment Indonesia"",""changeAmount"":-34610200}]","2023-12-31","[{""name"":""Dimensional Fund Advisors LP"",""changeAmount"":5228}]"
"SRTG.JK","2024-01-21 16:55:09+00","-86625345","[{""name"":""Baring Asset Management Ltd"",""changeAmount"":-26945700},{""name"":""Mackenzie Investments"",""changeAmount"":-19566690},{""name"":""FIL Fund Management Limited"",""changeAmount"":-15349015},{""name"":""Acadian Asset Management LLC"",""changeAmount"":-11357214},{""name"":""BlackRock Fund Advisors"",""changeAmount"":-2841600},{""name"":""Robeco"",""changeAmount"":-1701100},{""name"":""JOM Rahastoyhtiö Oy/ Fund Management Ltd"",""changeAmount"":-1500000},{""name"":""Maybank Asset Management Sdn Bhd"",""changeAmount"":-1370000},{""name"":""National Bank Trust Inc"",""changeAmount"":-1246200},{""name"":""Lemanik Invest S.A."",""changeAmount"":-1000000},{""name"":""Goldman Sachs Asset Management International"",""changeAmount"":-962000},{""name"":""AXA Investment Managers Paris"",""changeAmount"":-791600},{""name"":""Allianz Global Investors"",""changeAmount"":-457600},{""name"":""Genesis Asset Managers, LLP"",""changeAmount"":-448363},{""name"":""Russell Investments Limited"",""changeAmount"":-397163},{""name"":""Lion Global Investors Ltd"",""changeAmount"":-343500},{""name"":""Nationwide Fund Advisors"",""changeAmount"":-210900},{""name"":""Hood River Capital Management LLC"",""changeAmount"":-112000},{""name"":""State Street Global Advisors (Aus) Ltd"",""changeAmount"":-24700}]","2023-12-31",""
